SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR
2017260N12310,2017,78,,,MARIA,2017-09-16 12:00:00,TS,12.2,-49.7,30,1006,hurdat_atl,main,844,803,O_____________,hurdat_atl,AL152017,12.2000,-49.7000, ,TD,30,1006,-1, , , , , , , , , , , , ,1012,150,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40, , , , , , , , , ,21,269
2017260N12310,2017,78,,,MARIA,2017-09-16 15:00:00,TS,12.1861,-50.7576, , , ,main,798,757,P_____________, ,AL152017,12.1861,-50.7576, ,TD,35,1005,0,20, , ,20, , , , , , , , ,1012,150,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,270
2017260N12310,2017,78,,,MARIA,2017-09-16 18:00:00,TS,12.2,-51.7,40,1004,hurdat_atl,main,757,735,O_____________,hurdat_atl,AL152017,12.2000,-51.7000, ,TS,40,1004,0,40, , ,40, , , , , , , , ,1012,150,40, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50, , , , , , , , , ,17,273
2017260N12310,2017,78,,,MARIA,2017-09-16 21:00:00,TS,12.2695,-52.4525, , , ,main,740,731,P_____________, ,AL152017,12.2695,-52.4525, ,TS,42,1003,0,40, , ,40, , , , , , , , ,1012,150,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,278
2017260N12310,2017,78,,,MARIA,2017-09-17 00:00:00,TS,12.4,-53.1,45,1002,hurdat_atl,main,738,734,O_____________,hurdat_atl,AL152017,12.4000,-53.1000, ,TS,45,1002,0,40,30, ,40, , , , , , , , ,1012,150,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55, , , , ,12,30,30, , ,13,284
2017260N12310,2017,78,,,MARIA,2017-09-17 03:00:00,TS,12.5773,-53.7576, , , ,main,751,735,P_____________, ,AL152017,12.5773,-53.7576, ,TS,50,998,0,45,35, ,45,10,10, ,10, , , , ,1011,150,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,60,30, , ,13,288
2017260N12310,2017,78,,,MARIA,2017-09-17 06:00:00,TS,12.8,-54.4,55,994,hurdat_atl,main,736,702,O_____________,hurdat_atl,AL152017,12.8000,-54.4000, ,TS,55,994,0,50,40, ,50,20,20, ,20, , , , ,1010,150,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65, , , , ,12,90,30, ,90,14,291
2017260N12310,2017,78,,,MARIA,2017-09-17 09:00:00,TS,13.0573,-55.0499, , , ,main,706,646,P_____________, ,AL152017,13.0573,-55.0499, ,TS,57,992,0,55,40, ,50,25,20, ,20, , , , ,1010,165,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,105,30, ,90,14,292
2017260N12310,2017,78,,,MARIA,2017-09-17 12:00:00,TS,13.3,-55.7,60,990,hurdat_atl,main,646,594,O_____________,hurdat_atl,AL152017,13.3000,-55.7000, ,TS,60,990,0,60,40,30,50,30,20, ,20, , , , ,1011,180,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65, , , , ,12,120,30, ,90,14,287
2017260N12310,2017,78,,,MARIA,2017-09-17 15:00:00,TS,13.4575,-56.3727, , , ,main,590,542,P_____________, ,AL152017,13.4575,-56.3727, ,TS,62,988,0,65,50,35,55,30,20, ,20, , , , ,1010,180,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,120,45, ,90,13,283
2017260N12310,2017,78,,,MARIA,2017-09-17 18:00:00,TS,13.6,-57.0,65,986,hurdat_atl,main,542,515,O_____________,hurdat_atl,AL152017,13.6000,-57.0000, ,HU,65,986,1,70,60,40,60,30,20, ,20,15, , ,10,1010,180,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80, , , , ,12,120,60,30,90,12,287
2017260N12310,2017,78,,,MARIA,2017-09-17 21:00:00,TS,13.7997,-57.5225, , , ,main,515,491,P_____________, ,AL152017,13.7997,-57.5225, ,HU,70,982,1,80,60,40,65,30,20, ,20,15, , ,10,1009,180,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,135,67,45,105,11,292
2017260N12310,2017,78,,,MARIA,2017-09-18 00:00:00,TS,14.0,-58.0,75,979,hurdat_atl,main,492,467,O_____________,hurdat_atl,AL152017,14.0000,-58.0000, ,HU,75,979,1,90,60,40,70,30,20,20,20,15,10,10,10,1009,180,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90, , , , ,12,150,75,60,120,10,291
2017260N12310,2017,78,,,MARIA,2017-09-18 03:00:00,TS,14.165,-58.5225, , , ,main,476,457,P_____________, ,AL152017,14.1650,-58.5225, ,HU,77,978,1,90,60,40,70,30,20,20,25,15,10,10,10,1009,180,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,150,75,60,120,10,287
2017260N12310,2017,78,,,MARIA,2017-09-18 06:00:00,TS,14.3,-59.0,80,977,hurdat_atl,main,457,448,O_____________,hurdat_atl,AL152017,14.3000,-59.0000, ,HU,80,977,1,90,60,40,70,30,20,20,30,15,10,10,10,1010,180,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,100, , , , ,12,150,75,60,120,9,285
2017260N12310,2017,78,,,MARIA,2017-09-18 09:00:00,TS,14.3923,-59.3727, , , ,main,449,441,P_____________, ,AL152017,14.3923,-59.3727, ,HU,90,972,2,100,75,55,80,30,25,25,30,15,12,12,12,1010,180,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,150,82,60,120,7,286
2017260N12310,2017,78,,CS,MARIA,2017-09-18 12:00:00,TS,14.5,-59.7,100,967,hurdat_atl,main,448,445,O_____________,hurdat_atl,AL152017,14.5000,-59.7000, ,HU,100,967,3,110,90,70,90,30,30,30,30,15,15,15,15,1010,180,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,120, , , , ,12,150,90,60,120,7,294
2017260N12310,2017,78,,CS,MARIA,2017-09-18 15:00:00,TS,14.6849,-60.05, , , ,main,460,458,P_____________, ,AL152017,14.6849,-60.0500, ,HU,105,961,3,110,90,75,90,30,30,30,30,17,15,15,17,1010,180,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,135,90,75,120,8,301
2017260N12310,2017,78,,CS,MARIA,2017-09-18 18:00:00,TS,14.9,-60.4,110,956,hurdat_atl,main,474,473,O_____________,hurdat_atl,AL152017,14.9000,-60.4000, ,HU,110,956,3,110,90,80,90,30,30,30,30,20,15,15,20,1010,180,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,135, , , , ,12,120,90,90,120,8,302
2017260N12310,2017,78,,CS,MARIA,2017-09-18 21:00:00,TS,15.0895,-60.7164, , , ,main,493,493,P_____________, ,AL152017,15.0895,-60.7164, ,HU,127,940,4,110,100,80,90,35,35,30,35,22,20,17,22,1010,180,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,120,90,90,120,8,301
2017260N12310,2017,78,,CS,MARIA,2017-09-19 00:00:00,TS,15.3,-61.1,145,924,hurdat_atl,main,515,515,O_____________,hurdat_atl,AL152017,15.3000,-61.1000, ,HU,145,924,5,110,110,80,90,40,40,30,40,25,25,20,25,1010,180,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,170, , , , ,12,120,90,90,120,9,299
2017260N12310,2017,78,,CS,MARIA,2017-09-19 01:15:00,TS,15.4,-61.3,145,922,hurdat_atl,main,526,526,V_____________,hurdat_atl,AL152017,15.4000,-61.3000,L,HU,145,922,5,110,110,80,90,40,40,30,40,25,25,20,25,1010,180,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,132,96,96,126,10,297
