SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,USA_AGENCY,USA_ATCF_ID,USA_LAT,USA_LON,USA_RECORD,USA_STATUS,USA_WIND,USA_PRES,USA_SSHS,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,USA_POCI,USA_ROCI,USA_RMW,USA_EYE,TOKYO_LAT,TOKYO_LON,TOKYO_GRADE,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,TOKYO_LAND,CMA_LAT,CMA_LON,CMA_CAT,CMA_WIND,CMA_PRES,HKO_LAT,HKO_LON,HKO_CAT,HKO_WIND,HKO_PRES,NEWDELHI_LAT,NEWDELHI_LON,NEWDELHI_GRADE,NEWDELHI_WIND,NEWDELHI_PRES,NEWDELHI_CI,NEWDELHI_DP,NEWDELHI_POCI,REUNION_LAT,REUNION_LON,REUNION_TYPE,REUNION_WIND,REUNION_PRES,REUNION_TNUM,REUNION_CI,REUNION_RMW,REUNION_R34_NE,REUNION_R34_SE,REUNION_R34_SW,REUNION_R34_NW,REUNION_R50_NE,REUNION_R50_SE,REUNION_R50_SW,REUNION_R50_NW,REUNION_R64_NE,REUNION_R64_SE,REUNION_R64_SW,REUNION_R64_NW,BOM_LAT,BOM_LON,BOM_TYPE,BOM_WIND,BOM_PRES,BOM_TNUM,BOM_CI,BOM_RMW,BOM_R34_NE,BOM_R34_SE,BOM_R34_SW,BOM_R34_NW,BOM_R50_NE,BOM_R50_SE,BOM_R50_SW,BOM_R50_NW,BOM_R64_NE,BOM_R64_SE,BOM_R64_SW,BOM_R64_NW,BOM_ROCI,BOM_POCI,BOM_EYE,BOM_POS_METHOD,BOM_PRES_METHOD,NADI_LAT,NADI_LON,NADI_CAT,NADI_WIND,NADI_PRES,WELLINGTON_LAT,WELLINGTON_LON,WELLINGTON_WIND,WELLINGTON_PRES,DS824_LAT,DS824_LON,DS824_STAGE,DS824_WIND,DS824_PRES,TD9636_LAT,TD9636_LON,TD9636_STAGE,TD9636_WIND,TD9636_PRES,TD9635_LAT,TD9635_LON,TD9635_WIND,TD9635_PRES,TD9635_ROCI,NEUMANN_LAT,NEUMANN_LON,NEUMANN_CLASS,NEUMANN_WIND,NEUMANN_PRES,MLC_LAT,MLC_LON,MLC_CLASS,MLC_WIND,MLC_PRES,USA_GUST,BOM_GUST,BOM_GUST_PER,REUNION_GUST,REUNION_GUST_PER,USA_SEAHGT,USA_SEARAD_NE,USA_SEARAD_SE,USA_SEARAD_SW,USA_SEARAD_NW,STORM_SPEED,STORM_DIR
2017260N12310,2017,78,,CS,MARIA,2017-09-19 03:00:00,TS,15.5205,-61.5412, , , ,main,530,482,P_____________, ,AL152017,15.5205,-61.5412, ,HU,141,928,5,110,110,80,93,43,43,30,43,25,25,20,25,1010,180,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,150,105,105,135,8,297
2017260N12310,2017,78,,CS,MARIA,2017-09-19 06:00:00,TS,15.7,-61.9,135,940,hurdat_atl,main,482,435,O_____________,hurdat_atl,AL152017,15.7000,-61.9000, ,HU,135,940,4,110,110,80,100,50,50,30,50,25,25,20,25,1010,180,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,165, , , , ,12,180,120,120,150,8,297
2017260N12310,2017,78,,CS,MARIA,2017-09-19 09:00:00,TS,15.8909,-62.2966, , , ,main,435,387,P_____________, ,AL152017,15.8909,-62.2966, ,HU,137,935,5,115,110,80,100,65,50,35,65,25,25,20,27,1010,180,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,180,120,105,135,9,297
2017260N12310,2017,78,,CS,MARIA,2017-09-19 12:00:00,TS,16.1,-62.7,140,931,hurdat_atl,main,387,340,O_____________,hurdat_atl,AL152017,16.1000,-62.7000, ,HU,140,931,5,120,110,80,100,80,50,40,80,25,25,20,30,1010,180,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,170, , , , ,12,180,120,90,120,9,301
2017260N12310,2017,78,,CS,MARIA,2017-09-19 15:00:00,TS,16.3499,-63.1, , , ,main,340,285,P_____________, ,AL152017,16.3499,-63.1000, ,HU,142,925,5,120,110,80,100,80,55,50,80,27,27,25,30,1010,180,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,180,120,105,120,9,303
2017260N12310,2017,78,,CS,MARIA,2017-09-19 18:00:00,TS,16.6,-63.5,145,920,hurdat_atl,main,285,238,O_____________,hurdat_atl,AL152017,16.6000,-63.5000, ,HU,145,920,5,120,110,80,100,80,60,60,80,30,30,30,30,1010,180,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,175, , , , ,12,180,120,120,120,9,300
2017260N12310,2017,78,,CS,MARIA,2017-09-19 21:00:00,TS,16.7863,-63.9002, , , ,main,238,192,P_____________, ,AL152017,16.7863,-63.9002, ,HU,147,914,5,125,110,90,105,80,65,60,80,40,37,32,35,1010,180,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,180,120,120,105,9,298
2017260N12310,2017,78,,CS,MARIA,2017-09-20 00:00:00,TS,17.0,-64.3,150,909,hurdat_atl,main,192,138,O_____________,hurdat_atl,AL152017,17.0000,-64.3000, ,HU,150,909,5,130,110,100,110,80,70,60,80,50,45,35,40,1010,180,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,185, , , , ,12,180,120,120,90,9,304
2017260N12310,2017,78,,CS,MARIA,2017-09-20 03:00:00,TS,17.3,-64.7,150,908,hurdat_atl,main,138,85,V_____________,hurdat_atl,AL152017,17.3000,-64.7000,I,HU,150,908,5,130,110,100,110,80,70,60,80,50,45,35,40,1010,180,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,180,135,135,90,10,308
2017260N12310,2017,78,,CS,MARIA,2017-09-20 06:00:00,TS,17.6,-65.1,140,913,hurdat_atl,main,85,23,O_____________,hurdat_atl,AL152017,17.6000,-65.1000, ,HU,140,913,5,130,110,100,110,80,70,60,80,50,45,35,40,1010,180,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,170, , , , ,12,180,150,150,90,11,302
2017260N12310,2017,78,,CS,MARIA,2017-09-20 09:00:00,TS,17.8742,-65.6616, , , ,main,15,0,P_____________, ,AL152017,17.8742,-65.6616, ,HU,136,917,4,130,110,100,110,80,70,60,80,50,45,35,40,1010,180,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,180,150,150,105,12,298
2017260N12310,2017,78,,CS,MARIA,2017-09-20 10:15:00,TS,18.0,-65.9,135,920,hurdat_atl,main,0,0,V_____________,hurdat_atl,AL152017,18.0000,-65.9000,L,HU,135,920,4,130,110,100,110,80,70,60,80,50,45,35,40,1010,180,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,180,150,150,111,12,302
2017260N12310,2017,78,,,MARIA,2017-09-20 12:00:00,TS,18.2,-66.2,115,935,hurdat_atl,main,0,0,O_____________,hurdat_atl,AL152017,18.2000,-66.2000, ,HU,115,935,4,130,110,100,110,80,70,60,80,50,45,35,40,1009,180,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,150, , , , ,12,180,150,150,120,10,302
2017260N12310,2017,78,,,MARIA,2017-09-20 15:00:00,TS,18.4344,-66.6405, , , ,main,0,0,P_____________, ,AL152017,18.4344,-66.6405, ,HU,105,947,3,130,110,100,110,75,70,60,75,50,45,35,40,1008,180,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,195,165,165,135,9,298
2017260N12310,2017,78,,,MARIA,2017-09-20 18:00:00,TS,18.6,-67.0,95,959,hurdat_atl,main,22,22,O_____________,hurdat_atl,AL152017,18.6000,-67.0000, ,HU,95,959,2,130,110,100,110,70,70,60,70,50,45,35,40,1008,180,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,115, , , , ,12,210,180,180,150,7,300
2017260N12310,2017,78,,,MARIA,2017-09-20 21:00:00,TS,18.7999,-67.3151, , , ,main,44,44,P_____________, ,AL152017,18.7999,-67.3151, ,HU,95,958,2,130,110,105,110,70,70,60,70,50,37,37,40,1008,180,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,225,180,165,165,7,305
2017260N12310,2017,78,,,MARIA,2017-09-21 00:00:00,TS,19.0,-67.6,95,958,hurdat_atl,main,74,74,O_____________,hurdat_atl,AL152017,19.0000,-67.6000, ,HU,95,958,2,130,110,110,110,70,70,60,70,50,30,40,40,1008,180,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,115, , , , ,12,240,180,150,180,7,305
2017260N12310,2017,78,,,MARIA,2017-09-21 03:00:00,TS,19.1925,-67.9001, , , ,main,79,74,P_____________, ,AL152017,19.1925,-67.9001, ,HU,97,958,3,130,110,110,110,70,70,60,70,50,30,40,40,1008,180,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,240,210,150,180,7,305
2017260N12310,2017,78,,,MARIA,2017-09-21 06:00:00,TS,19.4,-68.2,100,959,hurdat_atl,main,79,74,O_____________,hurdat_atl,AL152017,19.4000,-68.2000, ,HU,100,959,3,130,110,110,110,70,70,60,70,50,30,40,40,1008,180,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,120, , , , ,12,240,240,150,180,7,308
2017260N12310,2017,78,,,MARIA,2017-09-21 09:00:00,TS,19.6349,-68.4926, , , ,main,84,84,P_____________, ,AL152017,19.6349,-68.4926, ,HU,100,959,3,130,110,110,110,75,75,60,75,50,40,40,45,1008,180,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,240,210,97,210,8,311
